"year","SASAP.Region","species","p_conf","sector","source_report","harvest"
1980,"Copper River","chinook",NA,"Commercial","Report",8454
1980,"Copper River","chum",NA,"Commercial","Report",198
1980,"Copper River","coho",NA,"Commercial","Report",334171
1980,"Copper River","pink",NA,"Commercial","Report",3966
1980,"Copper River","sockeye",NA,"Commercial","Report",18908
1980,"Kodiak","chinook",NA,"Commercial","Report",529
1980,"Kodiak","chum",NA,"Commercial","Report",1075557
1980,"Kodiak","coho",NA,"Commercial","Report",139154
1980,"Kodiak","pink",NA,"Commercial","Report",17290615
1980,"Kodiak","sockeye",NA,"Commercial","Report",651394
1980,"Kotzebue","chinook",0,"Commercial",NA,223
1980,"Kotzebue","chum",NA,"Commercial","Report",367284
1980,"Kotzebue","pink",0,"Commercial",NA,1524
1980,"Kotzebue","sockeye",0,"Commercial",NA,0
1980,"Kuskokwim","chinook",NA,"Commercial","Report",48599
1980,"Kuskokwim","chum",NA,"Commercial","Report",560943
1980,"Kuskokwim","coho",NA,"Commercial","Report",327878
1980,"Kuskokwim","pink",NA,"Commercial","Report",30306
1980,"Kuskokwim","sockeye",NA,"Commercial","Report",42213
1980,"Norton Sound","chinook",NA,"Commercial","Report",6311
1980,"Norton Sound","chum",NA,"Commercial","Report",180792
1980,"Norton Sound","coho",NA,"Commercial","Report",29842
1980,"Norton Sound","pink",NA,"Commercial","Report",227352
1980,"Norton Sound","sockeye",NA,"Commercial","Report",40
1980,"Prince William Sound","chinook",0,"Commercial",NA,187
1980,"Prince William Sound","chum",0,"Commercial",NA,481901
1980,"Prince William Sound","coho",0,"Commercial",NA,2944
1980,"Prince William Sound","pink",0,"Commercial",NA,13806683
1980,"Prince William Sound","sockeye",0,"Commercial",NA,189816
1980,"Southeast","chinook",0,"Commercial",NA,320337
1980,"Southeast","chum",0,"Commercial",NA,1618949
1980,"Southeast","coho",0,"Commercial",NA,1110572
1980,"Southeast","pink",0,"Commercial",NA,13931823
1980,"Southeast","sockeye",0,"Commercial",NA,1091951
1980,"Yukon","chinook",0,"Commercial",NA,152422
1980,"Yukon","chum",0,"Commercial",NA,1218080
1980,"Yukon","coho",0,"Commercial",NA,8738
1981,"Alaska Peninsula and Aleutian Islands","chinook",NA,"Commercial","Report",29583
1981,"Alaska Peninsula and Aleutian Islands","chum",NA,"Commercial","Report",2481846
1981,"Alaska Peninsula and Aleutian Islands","coho",NA,"Commercial","Report",317831
1981,"Alaska Peninsula and Aleutian Islands","pink",NA,"Commercial","Report",5347031
1981,"Alaska Peninsula and Aleutian Islands","sockeye",NA,"Commercial","Report",4091278
1981,"Bristol Bay","chinook",0,"Commercial",NA,237284
1981,"Bristol Bay","chum",0,"Commercial",NA,1503708
1981,"Bristol Bay","coho",0,"Commercial",NA,312598
1981,"Bristol Bay","pink",0,"Commercial",NA,7237
1981,"Bristol Bay","sockeye",0,"Commercial",NA,25572747
1981,"Chignik","chinook",NA,"Commercial","Report",2694
1981,"Chignik","chum",NA,"Commercial","Report",580332
1981,"Chignik","coho",NA,"Commercial","Report",78805
1981,"Chignik","pink",NA,"Commercial","Report",1162613
